Time,Person In,Person Out
2022-09-02 06:15:24,1,
2022-09-02 06:20:54,1,
2022-09-02 06:24:27,1,
2022-09-02 06:27:30,1,
2022-09-02 06:45:22,1,
2022-09-02 06:50:13,1,
2022-09-02 06:54:49,1,
2022-09-02 06:55:22,1,
2022-09-02 06:58:49,,1
2022-09-02 06:58:50,,1
2022-09-02 06:58:51,,1
2022-09-02 07:11:09,1,
2022-09-02 07:17:20,,1
2022-09-02 07:22:53,1,
2022-09-02 07:35:31,1,
2022-09-02 07:38:37,1,
2022-09-02 07:40:11,1,
2022-09-02 07:43:05,1,
2022-09-02 07:45:24,1,
2022-09-02 07:51:17,1,
2022-09-02 07:51:58,1,
2022-09-02 07:53:59,1,
2022-09-02 07:54:58,1,
2022-09-02 07:59:24,1,
2022-09-02 07:59:29,1,
2022-09-02 08:00:38,,1
2022-09-02 08:01:01,1,
2022-09-02 08:03:45,1,
2022-09-02 08:04:00,,1
2022-09-02 08:04:46,1,
2022-09-02 08:08:08,1,
2022-09-02 08:08:11,1,
2022-09-02 08:08:12,1,
2022-09-02 08:09:08,1,
2022-09-02 08:09:43,1,
2022-09-02 08:10:07,1,
2022-09-02 08:10:35,1,
2022-09-02 08:10:43,,1
2022-09-02 08:13:54,,1
2022-09-02 08:13:55,,1
2022-09-02 08:14:10,1,
2022-09-02 08:14:20,,1
2022-09-02 08:15:28,1,
2022-09-02 08:17:16,1,
2022-09-02 08:17:50,,1
2022-09-02 08:18:18,,1
2022-09-02 08:19:35,1,
2022-09-02 08:20:37,,1
2022-09-02 08:20:57,,1
2022-09-02 08:21:19,,1
2022-09-02 08:22:40,1,
2022-09-02 08:23:33,,1
2022-09-02 08:23:42,,1
2022-09-02 08:24:52,,1
2022-09-02 08:25:58,1,
2022-09-02 08:26:29,,1
2022-09-02 08:26:42,,1
2022-09-02 08:27:17,1,
2022-09-02 08:27:18,1,
2022-09-02 08:27:40,1,
2022-09-02 08:28:04,,1
2022-09-02 08:28:05,,1
2022-09-02 08:28:19,1,
2022-09-02 08:28:20,1,
2022-09-02 08:28:28,1,
