Time,Person In,Person Out
2022/09/02 05:38:42,1,
2022/09/02 05:40:19,,1
2022/09/02 07:05:52,1,
2022/09/02 07:07:22,1,
2022/09/02 07:09:09,,1
2022/09/02 07:12:14,,1
2022/09/02 07:13:48,,1
2022/09/02 07:32:09,1,
2022/09/02 07:50:59,1,
2022/09/02 07:57:32,1,
2022/09/02 07:58:30,1,
2022/09/02 08:01:28,1,
2022/09/02 08:05:27,1,
2022/09/02 08:05:27,1,
2022/09/02 08:06:25,1,
2022/09/02 08:12:47,,1
2022/09/02 08:12:47,,1
2022/09/02 08:14:27,,1
2022/09/02 08:15:54,,1
2022/09/02 08:15:55,,1
2022/09/02 08:18:39,,1
2022/09/02 08:18:55,,1
2022/09/02 08:19:27,,1
2022/09/02 08:21:30,,1
2022/09/02 08:23:06,,1
2022/09/02 08:26:42,,1
2022/09/02 08:29:03,1,
2022/09/02 08:32:56,1,
2022/09/02 08:33:56,,1
2022/09/02 08:34:49,,1
2022/09/02 08:37:27,1,
2022/09/02 08:40:50,,1
2022/09/02 08:41:30,,1
2022/09/02 08:41:59,1,
2022/09/02 08:42:00,1,
2022/09/02 08:46:09,1,
2022/09/02 08:47:21,1,
2022/09/02 08:50:34,1,
2022/09/02 08:51:16,,1
2022/09/02 08:51:53,,1
2022/09/02 08:53:28,1,
2022/09/02 08:53:28,1,
2022/09/02 08:53:51,1,
2022/09/02 08:56:08,,1
2022/09/02 08:56:16,1,
2022/09/02 08:59:00,1,
2022/09/02 09:00:08,,1
2022/09/02 09:00:33,,1
2022/09/02 09:01:24,1,
2022/09/02 09:01:30,1,
2022/09/02 09:01:52,,1
2022/09/02 09:02:04,1,
2022/09/02 09:03:20,1,
2022/09/02 09:06:41,,1
2022/09/02 09:07:07,,1
2022/09/02 09:08:09,1,
2022/09/02 09:11:45,,1
2022/09/02 09:11:56,1,
2022/09/02 09:12:48,1,
2022/09/02 09:13:06,,1
2022/09/02 09:15:36,,1
2022/09/02 09:16:05,,1
2022/09/02 09:18:46,,1
2022/09/02 09:20:32,1,
2022/09/02 09:26:00,,1
2022/09/02 09:28:32,,1
2022/09/02 09:29:19,1,
2022/09/02 09:29:58,1,
2022/09/02 09:32:10,1,
2022/09/02 09:35:49,1,
2022/09/02 09:39:08,,1
2022/09/02 09:39:34,,1
2022/09/02 09:41:10,1,
2022/09/02 09:47:02,,1
2022/09/02 09:48:07,,1
2022/09/02 09:49:58,,1
2022/09/02 09:49:59,,1
2022/09/02 09:50:00,,1
2022/09/02 09:50:00,,1
2022/09/02 09:53:31,,1
2022/09/02 09:55:54,1,
2022/09/02 09:57:06,,1
2022/09/02 09:59:36,1,
2022/09/02 10:01:58,,1
2022/09/02 10:08:41,,1
2022/09/02 10:13:20,,1
2022/09/02 10:19:09,1,
2022/09/02 10:20:17,1,
2022/09/02 10:20:31,1,
2022/09/02 10:21:49,,1
2022/09/02 10:23:44,,1
2022/09/02 10:26:27,,1
2022/09/02 10:27:44,,1
2022/09/02 10:28:14,1,
